Location,Note,Highlight_JP,Highlight_EN,注釈,文化的要素の対応訳,翻訳技法,辞書に対訳として存在するため。,和英リンク,閲覧日,検閲有無
74,先生,私はその人を常に先生と呼んでいた。,"I ALWAYS called him ""Sensei.""","""Sensei"" : The English word ""teacher"" which comes closest in meaning to the Japanese word sensei is not satisfactory here. The French word maître would express better what is meant by sensei.",Sensei,Amplification,原文「先生」を「Sensei」と音写（借用）し、さらに注釈でその意味合いについて詳細な説明（増幅）を加えているため。,,,TRUE
78,鎌倉,私が先生と知り合いになったのは鎌倉である。,"It was at Kamakura, during the summer holidays, that I first met Sensei.",,Kamakura,Borrowing,原文「鎌倉」を「Kamakura」と音写し、英訳にも注釈にも一切補足説明がないため。,,,TRUE
79,書生,その時私はまだ若々しい書生であった。,I was then a very young student.,,student,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%9B%B8%E7%94%9F,2026/01/03,TRUE
79,端書,暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。,"I went there at the insistence of a friend of mine, who had gone to Kamakura to swim. We were not together for long. It had taken me a few days to get together enough money to cover the necessary expenses, and it was only three days after my arrival that my friend received a telegram from home demanding his return.",,insistence,Reduction,原文「端書」という文化的要素（連絡手段）が訳文から完全に省略され、その内容が「insistence」という形で間接的に表現されているため。,,,TRUE
96,畷,玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。,"My inn was in a rather out-of-the-way district of Kamakura, and if one wished to indulge in such fashionable pastimes as playing billiards and eating ice cream, one had to walk a long way across rice fields. ",,across rice fields,Description,原文の「畷」を、その機能や場所（田んぼの中を通る道）を説明する「across rice fields」に置き換えているため。,,,TRUE
97,二十銭,車で行っても二十銭は取られた。,"If one went by rickshaw, it cost twenty sen.",,twenty sen,Borrowing,原文「二十銭」を「twenty sen」と訳しており、「銭」という日本の通貨単位を音訳した表現「sen」で対応しているため。,,,TRUE
99,藁葺,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,thatched cottages,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%97%81%E8%91%BA,2026/01/03,TRUE
99,都会人種,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,なし,Reduction,原文「都会人種」が指す人々の「都会的」という属性情報が、訳文「men and women」からは省略されているため。,,,TRUE
99,避暑,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads",,なし,Reduction,原文「避暑に来た男や女」の「避暑に来た」という目的の情報が、訳文「men and women」では完全に省略されているため。,,,TRUE
102,銭湯,私は毎日海へはいりに出掛けた。古い燻ぶり返った藁葺の間を通り抜けて磯へ下りると、この辺にこれほどの都会人種が住んでいるかと思うほど、避暑に来た男や女で砂の上が動いていた。ある時は海の中が 銭湯 のように黒い頭でごちゃごちゃしている事もあった。,"I walked to the sea every day, between thatched cottages that were old and smoke-blackened. The beach was always crowded with men and women, and at times the sea, like a public bath, would be covered with a mass of black heads.",,a public bath,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%8A%AD%E6%B9%AF,2026/01/03,TRUE
107,掛茶屋,その時海岸には掛茶屋が二軒あった。,"In those days, there were two tea houses on the beach.",,tea houses,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%8E%9B%E8%8C%B6%E5%B1%8B,2026/01/03,TRUE
123,西洋人,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",,Westerner,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%A5%BF%E6%B4%8B%E4%BA%BA,2026/01/03,TRUE
123,掛茶屋,その西洋人の優れて白い皮膚の色が、掛茶屋へ入るや否や、すぐ私の注意を惹いた。,"The Westerner, with his extremely pale skin, had already attracted my attention when I approached the tea house.",,tea house,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%8E%9B%E8%8C%B6%E5%B1%8B,2026/01/03,TRUE
124,浴衣,純粋の日本の浴衣を着ていた彼は、それを床几の上にすぽりと放り出したまま、腕組みをして海の方を向いて立っていた。,"He was standing with folded arms, facing the sea; carelessly thrown down on the stool by his side was a Japanese summer dress which he had been wearing.",,a Japanese summer dress,Description,原文「浴衣」という言葉を使わず、その形態や機能（日本の夏のドレス）を説明しているため。,,,TRUE
126,猿股,彼は我々の穿く猿股一つの外何物も肌に着けていなかった。,He had on him only a pair of drawers such as we were accustomed to wear.,,a pair of drawers,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%8C%BF%E8%82%A1,2026/01/03,TRUE
128,由比ヶ浜,私はその二日前に由井が浜まで行って、砂の上にしゃがみながら、長い間西洋人の海へ入る様子を眺めていた。,"Two days previously I had gone to Yuigahama and, sitting on top of a small dune close to the rear entrance of a Western-style hotel, I had whiled away the time watching the Westerners bathe.",,Yuigahama,Borrowing,原文「由井が浜」を「Yuigahama」と音写（ローマ字化）し、英訳文中に一切補足説明がないため。,,,TRUE
135,猿股,そういう有様を目撃したばかりの私の眼には、猿股一つで済まして皆なの前に立っているこの西洋人がいかにも珍しく見えた。,"After having observed such a scene, it was natural that I should think this Westerner, who stood so lightly clad in our midst, quite extraordinary.",,lightly clad,Generalization,原文「猿股」という日本の下着が、より一般的な状態を表す「lightly clad（薄着）」という表現に一般化されているため。,,,TRUE
139,手拭い,その日本人は砂の上に落ちた手拭を拾い上げているところであったが、それを取り上げるや否や、すぐ頭を包んで、海の方へ歩き出した。,"The Japanese then tied the towel around his head, and immediately began to walk towards the sea.",,towel,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%89%8B%E6%8B%AD%E3%81%84,2026/01/04,TRUE
143,遠浅,そうして遠浅の磯近くにわいわい騒いでいる多人数の間を通り抜けて、比較的広々した所へ来ると、二人とも泳ぎ出した。,"They strode determinedly into the water and, making their way through the noisy crowd, finally reached a quieter and deeper part of the sea.",,なし,Reduction,原文「遠浅」が指す「浅い場所」という地理的情報が、訳文では明示的な語句として省略されているため。,,,TRUE
154,麦藁帽,すると西洋人は来ないで先生一人麦藁帽を被ってやって来た。,"This time, he arrived without the Westerner, wearing a straw hat.",,straw hat,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%BA%A6%E8%97%81%E5%B8%BD,2026/01/03,TRUE
174,白絣,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,なし,Reduction,原文の「白絣」という、先生が着用している着物の種類を示す文化的要素が、英訳では完全に省略されているため。,,,TRUE
174,兵児帯,先生は白絣の上へ兵児帯を締めてから、眼鏡の失くなったのに気が付いたと見えて、急にそこいらを探し始めた。私はすぐ 腰掛 の下へ首と手を突ッ込んで眼鏡を拾い出した。,"When he began suddenly to look for them, I approached, and bending down, I picked up his spectacles from under the bench.",,なし,Reduction,原文にあった「兵児帯」という文化的要素が、訳文では完全に省略されているため。,,,TRUE
225,鎌倉,しかし帰って二日三日と経つうちに、鎌倉にいた時の気分が段々薄くなって来た。,"A few days after my return, however, I began to feel less inclined to do so.",,なし,Reduction,原文の文化的要素「鎌倉」が、英訳には対応する語句がなく完全に省略されているため。,,,TRUE
238,下女,私はすぐ玄関先を去らなかった。下女の顔を見て少し躊躇してそこに立っていた。,"I therefore hesitated in the front hall, staring at the maid who had informed me of her master's absence. ",,maid,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E4%B8%8B%E5%A5%B3,2026/01/03,TRUE
238,名刺,この前名刺を取り次いだ記憶のある下女は、私を待たしておいてまた内へはいっ,"She seemed to remember that I had called before and left my card.Asking me to wait, she went away.",,card,Generalization,原文の「名刺」という特定の情報カードを、より一般的・中立的な用語である「card」に置き換えているため。,https://ejje.weblio.jp/content/%E5%90%8D%E5%88%BA,,TRUE
241,雑司ヶ谷,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写（ローマ字化）し、英訳に補足説明を一切加えていないため。,,,TRUE
241,仏,先生は例月その日になると雑司ヶ谷の墓地にある或る仏へ花を手向けに行く習慣なのだそうである。,"I learned that every month, on the same day, it was Sensei's custom to take flowers to a certain grave in the cemetery at Zoshigaya.",,grave,Adaptation,「仏（霊的な存在）」を、ターゲット文化において機能的に相当する物理的な対象「墓（grave）」へ置き換えているため。,,,TRUE
248,楓,私は墓地の手前にある苗畠の左側からはいって、両方に楓を植え付けた広い道を奥の方へ進んで行った。,From the left side of a field I entered the cemetery and proceeded along a broad avenue bordered on each side by maple trees.,,maple trees,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%A5%93,2026/01/03,TRUE
249,茶店,するとその端れに見える茶店の中から先生らしい人がふいと出て来た。,"There was a tea house at the end of the avenue, and I saw coming out of it someone that looked like Sensei.",,tea house,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%8C%B6%E5%BA%97,2026/01/03,TRUE
266,一切衆生悉有仏生,先生と私は通りへ出ようとして墓の間を抜けた。 依撒伯拉何々 の墓だの、 神僕 ロギンの墓だのという 傍 に、 一切衆生悉有仏生 と書いた 塔婆 などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,All living things bear within themselves the essence of Buddha,Literal translation,all living things(一切衆生)＋bear within themselves the essence of(悉有……生)＋Buddha(仏)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
266,塔婆,一切衆生悉有仏生と書いた塔婆などが建ててあった。,"Next to those with inscriptions such as ""Isabella So-and-so..."" and ""Login, Servant of God,"" were those with Buddhist inscriptions such as ""All living things bear within themselves the essence of Buddha.""",,those with Buddhist inscriptions,Description,「塔婆」という具体的な仏教供養のための板を、その機能・内容（仏教の碑文が書かれたもの）を説明するフレーズに置き換えているため。,,,TRUE
269,墓標,先生はこれらの墓標が現わす人種々の様式に対して、私ほどに滑稽もアイロニーも認めてないらしかった。,"Sensei did not seem to find the way in which different customs were reflected in the tombstones amusing or ironical, as I did.",,tombstones,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%A2%93%E6%A8%99,2026/01/03,TRUE
274,銀杏,墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。,"Towards the end of the cemetery, there stood a gingko tree, so large that it almost hid the sky from view.",,gingko tree,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%8A%80%E6%9D%8F,2026/01/03,TRUE
276,黄葉,この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります,"The tree will be a mass of yellow, and the ground will be buried beneath a golden carpet of fallen leaves.",,a mass of yellow,Description,「黄葉」という現象そのものを直接訳さず、その結果としての視覚的な状態「a mass of yellow」で説明しているため。,,,TRUE
279,鍬,向うの方で凸凹の地面をならして新墓地を作っている男が、鍬の手を休めて私たちを見ていた。,"Not far from us in the cemetery, a man was leveling off a piece of rough ground. He stopped and, resting on his hoe, he watched us.",,hoe,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%8D%AC,2026/01/04,TRUE
310,小春,ゆくりなくまたそれを思い出させられたのは、小春の尽きるに間のない或る晩の事であった。,"One evening, however, towards the end of the Indian summer, it was unexpectedly brought back to my mind.",,Indian summer,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%B0%8F%E6%98%A5,2026/01/03,TRUE
312,銀杏,先生と話していた私は、ふと先生がわざわざ注意してくれた銀杏の大樹を眼の前に想い浮かべた。,"As I was talking to Sensei, I happened for some reason to think of the great gingko tree that he had pointed out to me.",,gingko tree,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%8A%80%E6%9D%8F,2026/01/03,TRUE
317,銀杏,「先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか」,"""Sensei, I wonder if the gingko tree at Zoshigaya has lost all its leaves by now?""",,gingko tree,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%8A%80%E6%9D%8F,2026/01/03,TRUE
318,空坊主,「まだ空坊主にはならないでしょう」,"""I doubt that it will be quite bare yet.""",,quite bare,Description,「坊主」という比喩（メタファー）を使わず、その比喩が意味する状態（裸である＝葉がない）を説明的に表現しているため。,,,TRUE
320,お墓参り,「今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。,"""May I accompany you, when you next visit the grave?",,visit the grave,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E3%81%8A%E5%A2%93%E5%8F%82%E3%82%8A,2026/01/03,TRUE
331,雑司ヶ谷,私は忽ち雑司ヶ谷で「先生」と呼び掛けた時の記憶を強く思い起した。二つの表情は全く同じだったのである。,And I was suddenly reminded of the way he looked that day at Zoshigaya when I called to him.,,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、英訳・注釈のいずれにも補足説明を加えていないため。,,,TRUE
351,座敷,先生と同郷の学生などには時たま座敷で同座する場合もあったが、彼らのいずれもは皆な私ほど先生に親しみをもっていないように見受けられた。," Sometimes, I would find at his house students who were from the same part of the country as Sensei, but it seemed to me that none of them were as close to him as I was.",,at his house,Generalization,「座敷」が持つ日本の伝統家屋における特定の部屋（畳敷きの客間など）という固有の概念が、「at his house」という一般的な「家」という場所の概念に置き換えられており、読者はその文化的要素の固有性を認識せず、自文化にも存在する普遍的な「家」の空間として処理してしまうため。,,,TRUE
377,食卓,その内いつの間にか先生の食卓で飯を食うようになった。,"And before long, I found myself dining at his house occasionally.",,his house,Generalization,原文の「食卓」という具体的な場所や家具の情報が、訳文の「house」というより一般的な場所になり、食卓という文化的要素が省略されているため。,,,TRUE
393,盃,奥さんは綺麗な眉を寄せて、私の半分ばかり注いで上げた盃を、唇の先へ持って行った。,"Frowning slightly, she raised to her lips the cup that I had half-filled for her.",,cup,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%9B%83,2026/01/04,TRUE
412,天罰,奥さんは黙っていた。「なぜです」と私が代りに聞いた時先生は「天罰だからさ」といって高く笑った。,"Sensei s wife was silent.""Why not?"" I asked.""Divine punishment,"" Sensei answered, and laughed rather loudly.",,Divine punishment,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%A4%A9%E7%BD%B0,2026/01/03,TRUE
424,箱根,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,Hakone,Borrowing,原文「箱根」を「Hakone」と音写し、英訳文および注釈に一切補足説明がないため。,,,TRUE
424,葉書,私は箱根から貰った絵端書をまだ持っている。,I still have with me a postcard that they sent me from Hakone.,,postcard,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%91%89%E6%9B%B8,2026/01/03,TRUE
425,日光,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,Nikko,Borrowing,原文「日光」を「Nikko」と音写し、英訳に補足説明がないため。,,,TRUE
425,紅葉（もみじ）,日光へ行った時は紅葉の葉を一枚封じ込めた郵便も貰った。,"And I remember that the time they went to Nikko, I received from them a letter with a maple leaf enclosed.",,maple leaf,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%B4%85%E8%91%89,2026/01/03,TRUE
429,格子,先生の宅は玄関の次がすぐ座敷になっているので、格子の前に立っていた私の耳にその言逆いの調子だけはほぼ分った。,"The living-room was immediately adjoining the front hall, and I could hear well enough to know that it was a quarrel, and that one of the voices, which was raised now and then, belonged to Sensei.",,なし,Reduction,原文「格子」に相当する情報が英訳で完全に省略されており、対応する語句がないため。,,,TRUE
437,袴,私は帰ったなりまだ袴を着けていた。,I had not bothered to take off my dress trousers when I returned.,,dress trousers,Generalization,原文「袴」を「dress trousers」と訳すことで、日本の伝統的な特定の衣服名が失われ、より一般的な「ズボン（のうち正装用のもの）」に抽象化（一般化）されているため。,,,TRUE
438,表へ出た,私はそれなりすぐ表へ出た。,I left my room immediately.,,left my room,Description,「表へ出る」という行為を「部屋を離れる」という具体的な動作の描写に置き換えて説明しているため。,,,TRUE
443,魚の骨が喉に刺さった時のように,肴の骨が咽喉に刺さった時のように、私は苦しんだ。,"It bothered me terribly, like a fish bone in my throat.",,like a fish bone in my throat,Literal translation,fish bone(魚の骨)＋in my throat(喉に刺さる)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
462,心丈夫,そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。,"Of course, my last remark would lead one to suppose that the husband is self-reliant.Which is laughable.",,self-reliant,Adaptation,「心丈夫」と「Self-reliant」は上下関係（具体⇔抽象）ではない。そして「頼りになる（依存を受け止める）」という日本的な肯定概念を、「自立している（依存しない）」と読者文化になじんだ表現に解釈できるため。,,,TRUE
489,横浜,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Yokohama,Borrowing,原文「横浜」を「Yokohama」と音写（ローマ字化）し、英訳にも注釈にも一切補足説明がないため。,,,TRUE
489,新橋,先生はその日横浜を出帆する汽船に乗って外国へ行くべき友人を新橋へ送りに行って留守であった。,"A friend of his, I learned, was sailing from Yokohama, and Sensei had gone to see him off at Shimbashi. I found Sensei out.",,Shimbashi,Borrowing,原文「新橋」が「Shimbashi」と音写（ローマ字化）され、訳文にも注釈にも補足説明がないため。,,,TRUE
494,座敷,それで私は座敷へ上がって、先生を待つ間、奥さんと話をした。,"While waiting for Sensei, therefore, I talked to his wife.",,なし,Reduction,原文「座敷」という空間的・文化的要素が、英訳に全く対応する語句として現れておらず、完全に省略されているため。,,,TRUE
504,敬意,先生はまるで世間に名前を知られていない人であった。だから先生の学問や思想については、先生と密切の関係をもっている私より外に敬意を払うもののあるべきはずがなかった。,"Sensei lived in complete obscurity. Apart from myself, there was no one who knew of Sensei's scholarship or his ideas.",,なし,Reduction,原文「敬意を払うもの」という情報に含まれる「敬意」の概念が、直接的に訳されていないため。,,,TRUE
507,謙遜,私にはその答えが謙遜過ぎてかえって世間を冷評するようにも聞こえた。,"This remark struck me as being too modest, and I wondered whether it did not spring from a contempt of the outside world.",,modest,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E8%AC%99%E9%81%9C,2026/01/03,TRUE
531,東京,奥さんは東京の人であった。,She was a Tokyo woman.,,Tokyo,Borrowing,原文「東京」を「Tokyo」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,,,TRUE
533,鳥取,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,Tottori,Borrowing,原文「鳥取」を「Tottori」と音写（ローマ字化）し、補足説明を加えていないため。,,,TRUE
533,江戸,奥さんは「本当いうと 合の子 なんですよ」といった。奥さんの父親はたしか鳥取かどこかの出であるのに、お母さんの方はまだ江戸といった時分の市ヶ谷で生れた女なので、奥さんは冗談半分そういったのである。,"Her father had actually come from some such place as Tottori, while her mother had been born in Ichigaya, when Tokyo was still known as Yedo.For this reason, she once said, half-jokingly, ""I am, as a matter of fact, of mixed blood."" ",,"Yedo, when Tokyo was still known as Yedo",Amplification,"Amplification,原文「江戸」を「Yedo」と音写（借用）し、それに「when Tokyo was still known as Yedo」という補足説明（増幅）を加えているため。",,,TRUE
535,新潟県人,ところが先生は全く方角違いの新潟県人であった。,"Sensei, on the other hand, was from the province of Niigata.",,from the province of Niigata,Description,「the province of...」という表現を用いて、その人物の出身地の行政的性質や枠組みを説明（記述）しているため。,,,TRUE
553,花時分,或る時花時分に私は先生といっしょに上野へ行った。,"One day, during the flower-viewing season, Sensei and I went to Ueno.",,flower-viewing season,Description,原文の言葉（音訳）を使わず、その用語が持つ「機能（花を観賞する時期）」の説明に置き換えているため。,,,TRUE
594,鶯溪,先生と私とは博物館の裏から鶯渓の方角に静かな歩調で歩いて行った。,"Sensei and I walked slowly in the direction of Uguisudani, past the back of the museum.",,Uguisudani,Borrowing,原文「鶯渓」を「Uguisudani」と音写し、英訳にも注釈にも補足説明を一切加えていないため。,,,TRUE
595,垣,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,fencing,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E5%9E%A3,2026/01/04,TRUE
595,幽邃,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,なし,Reduction,原文の「幽邃」に相当する美的・情緒的な情報が、訳文では完全に省略されているため。,,,TRUE
595,熊笹,垣の隙間から広い庭の一部に茂る熊笹が幽邃に見えた。,"Through the gaps in the fencing, we could see dwarf bamboos growing thickly in one part of the garden.",,dwarf bamboos,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%86%8A%E7%AC%B9,2026/01/03,TRUE
597,雑司ヶ谷,「君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか」,"""Do you know why I go every month to my friend's grave in Zoshigaya?""",,Zoshigaya,Borrowing,原文「雑司ヶ谷」を「Zoshigaya」と音写し、補足説明を加えていないため。,,,TRUE
616,お気の毒,「私はお気の毒に思うのです」,"""I am simply sorry for you.""",,sorry for you,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E3%81%8A%E6%B0%97%E3%81%AE%E6%AF%92,2026/01/03,TRUE
616,気の毒,「気の毒だが信用されないとおっしゃるんですか」,"""I deserve your sympathy but not your trust. Is that what you mean, Sensei?""",,I deserve your sympathy,Description,「気の毒」という語そのものの直訳ではなく、「同情に値する（deserve sympathy）」という、その言葉の意味内容や定義を説明する表現に置き換えているため。,,,TRUE
617,椿の花,その庭に、この間まで重そうな赤い強い色をぽたぽた点じていた椿の花はもう一つも見えなかった。,"Not long before, the garden had been full of camellias.But now, the flowers, which had brightened the scenery with their rich, red color, were all gone.",,camellias,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E6%A4%BF,2026/01/03,TRUE
618,座敷,先生は座敷からこの椿の花をよく眺める癖があった。,It had been Sensei's custom to look out from his room and gaze at them.,,his room,Generalization,原文「座敷」が指す特定の日本家屋の部屋を、より一般的・中立的な用語である「his room」に一般化しているため。,,,TRUE
620,生垣,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,hedge,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E7%94%9F%E5%9E%A3,2026/01/03,TRUE
620,金魚売り,その時生垣の向うで金魚売りらしい声がした。,I could hear the cry of a goldfish vendor from the lane on the other side of the hedge.,,goldfish vendor,Literal translation,goldfish(金魚)＋vendor(売り)と対応させて訳しているため。辞書に対訳記述無し。,,,TRUE
624,針仕事,黙って針仕事か何かしている奥さんの耳に私の話し声が聞こえるという事も知っていた。,"I knew that Sensei's wife was in the next room, busy at her sewing or some such work. And I knew also that she could hear what we were saying.",,sewing,Established equivalent,辞書の対訳に存在するため。,https://ejje.weblio.jp/content/%E9%87%9D%E4%BB%95%E4%BA%8B,2026/01/03,TRUE
632,襖の陰で,私はもう少し先まで同じ道を 辿って行きたかった。すると 襖 の陰で「あなた、あなた」という奥さんの声が二度聞こえた。,"I wanted to pursue the conversation, but we were interrupted by the voice of Sensei's wife, calling him from behind the door.",,behind the door,Generalization,原文「襖」を、より一般的・中立的な用語である「door」に一般化（抽象化）しているため。,,,TRUE
