Location,Highlight_JP,Note,Highlight_EN,Similarity,注釈,translation_method,dmis_stage,備考
963,「こんど東京へ行くときには椎茸でも持って行ってお上げ」,椎茸,”You had better take some dried mushrooms as a present to him when you go to Tokyo next time.”,0.6934876442,,調整,最小化,原文「椎茸」を「dried mushrooms」と訳し、特定の固有名詞を機能的な上位概念に調整することで、文化固有の差異を一般的な食材という共通点へ最小化している。
978,私は退屈な父の相手としてよく将碁盤に向かった。,将棋盤,"In order to amuse my father, I often sat with him at Japanese chess.",0.6620810628,,調整,最小化,原文「将碁盤」を「Japanese chess」と訳し、具体的な物からゲーム概念へ視点を調整した。これにより「チェス」という共通点に収束させ、日本独自の差異を最小化した。
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,炬燵,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,,調整,適応,原文「炬燵」を「warm sunken fireplace with its wadded covering」と、TL読者が理解できるよう機能・構成要素で調整し、他文化視点に適応させた。
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,盤,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,,調整,適応,原文「盤」を「chess-board」と具体化し、抽象から具体へ「調整」。ターゲット文化の読者の理解に「適応」すべく、意図的に文化要素を変換した。
979,二人とも無精な性質なので、炬燵にあたったまま、盤を櫓の上へ載せて、駒を動かすたびに、わざわざ手を掛蒲団の下から出すような事をした。,櫓,"It was so cold that we had no courage to drag ourselves away from the warm sunken fireplace with its wadded covering, so we placed the chess-board on the quilt and played comfortably.",0.4856975675,,翻案,適応,原文「櫓」を訳文で「quilt」に置き換え、日本文化固有の炬燵の構造物から、異文化読者に馴染む表現へと文化状況を翻案し、他文化視点に適応した。
983,それを母が灰の中から見付け出して、火箸で挟み上げるという滑稽もあった。,火箸,"It was  my mother who usually found them in the ashes, and picked them out with the tongs, which was quite  a ridiculous sight.",0.6908781528,,調整,最小化,原文「火箸」を「tongs」と訳すことで、特定の文化固有の道具から一般的な「挟む道具」という概念へと調整し、文化差を最小化して共通理解に収束させた。
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,金,I often stretched my arms and even yawned.,0.6894717813,,翻案,適応,「金や香車を握った拳」が指す文化固有の状況を、TLで理解可能な「stretched my arms」に置き換え、文化背景を知らない読者に「腕を伸ばす」という同様の動作を「翻案」し「適応」させた。
991,私は金や香車を握った拳を頭の上へ伸ばして、時々思い切ったあくびをした。,香車,I often stretched my arms and even yawned.,0.6894717813,,調整,否認,原文の「香車」という文化的要素が訳文で完全に削除され、具体的な「拳」の描写が一般的な「arms」へ調整された。これは文化差を無視した否認段階である。
998,それでいて、この将碁を差したがる父は、単なる娯楽の相手としても私には物足りなかった。,将棋,"Yet my father, who loved to  play chess, was unsatisfactory to me even as a companion for games.",0.6482940316,,翻案,適応,原文「将棋」を英訳「chess」とすることで、日本文化固有のゲームを英語圏で同等の文化機能を持つボードゲームに「翻案」し、英語話者の読者に原文の意図を「適応」させている。
1009,私も滞在中にその峠を通り越した。,峠,"My parents' regard, too, passed its height during my stay.",0.6704736352,,翻案,統合,原文の「峠」という地理的文化状況を「parents' regard...height」という人間関係のピークに翻案し、両文化を自由に行き来し柔軟に操作する「統合」段階を演じた。
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,儒者,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",0.6841402054,,調整,適応,"原文「儒者」を""a Confucian""と訳し、日本語固有の概念を英語圏で理解しやすい「儒教の信奉者」という思想的背景に焦点を当てて調整。他文化視点に寄せた概念変換で適応を演じた。"
1010,昔でいうと、儒者の家へ切支丹の臭いを持ち込むように、私の持って帰るものは父とも母とも調和しなかった。,切支丹,"Like a Christian bringing the influence of his strange doctrine to a Confucian's home in old days, what I brought from Tokyo did not harmonize with my parents' way of life.",0.6841400862,,調整,適応,原文「切支丹」を「Christian」と訳し「strange doctrine」で補足することで、その異質な「臭い」をTL読者が理解しやすい概念に調整し、適応段階を演じた。
1021,東京へ帰ってみると、松飾はいつか取り払われていた。,松飾,"I returned to Tokyo, the gay New Year's decorations had been already removed.",0.7228272557,,調整,最小化,"原文「松飾」を""New Year's decorations""と訳し、具体的な「松」の要素を普遍的な「飾り」に調整することで文化差を最小化している。"
1021,町は寒い風の吹くに任せて、どこを見てもこれというほどの正月めいた景気はなかった。,正月,"The street was exposed to the chilly wind, and not a vestige of  the New Year gaiety was anywhere to be seen.",0.6703383923,,直訳,最小化,原文「正月めいた景気」を「New Year gaiety」と直訳し、「正月」を普遍的な「New Year」に置き換えることで文化差を最小化している。
1071,狼狽した気味の私は、早速先生の所へ出掛けて、私の読まなければならない参考書を聞いた。,狼狽,"In somewhat of a panic, ”I went to see him at onece,and asked him the titles of the books I had to read.”",0.8544415832,,転換,最小化,「狼狽した気味」を「In somewhat of a panic」と品詞・文法カテゴリを転換し意味を保持。感情という普遍要素に収束させ、文化表現の差異を最小化した。
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,好事家,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",0.5450437069,,等価,最小化,「好事家」を「collector」と訳し、原文の「骨董を掘り出す」文脈における概念的等価表現を用いることで、文化差を「収集家」という共通点へ最小化した。
1094,私の眼は好事家が骨董でも掘り出す時のように背表紙の金文字をあさった。,骨董,"Like a collector trying to find some curios,I scanned the titles of the books written in gold.",0.5450437069,,直訳,最小化,原文の「骨董」を「curios」と訳すことで、両文化に存在する「珍しい品物」という概念の共通点に着目し、文化差を最小化して訳出した。
1098,私はついに四月の下旬が来て、やっと予定通りのものを書き上げるまで、先生の敷居を跨がなかった。,敷居,I did not call on the sensei until the end of April when the work was finished.,0.6442409158,,等価,最小化,「敷居を跨がなかった」を「did not call on」と訳し、文化的背景を捨象。慣用表現をTLの自然な表現に置換し、文化差を最小化して共通点に収束させた。
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,八重桜,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",0.7065207958,,調整,最小化,"原文「八重桜」を""double cherry-blossoms""と訳し、具体的な日本固有種を「八重咲きの桜」と説明的に調整。文化差を認識しつつ、差異を最小化して読者の理解を優先した。"
1101,私の自由になったのは、八重桜の散った枝にいつしか青い葉が霞むように伸び始める初夏の季節であった。,初夏,"It was at the beginning of summer that I was emancipated from study, when in place of the double cherry-blossoms, a mist of delicate green leaves began to cover the branches.",0.7065207958,,直訳,受容,"原文「初夏」を""at the beginning of summer""と直訳することで、原文の季節感を保持しつつ英語圏の読者にも直接伝わるよう受容段階を演じた。"
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,枳殻,"As I walked along, I was  attracted by the fresh buds on the blackish branches  of the hedge of aegle sepiaria, and by the bright  reddish-brown leaves softly reflecting the sunshine  on the bare pomegranate-tree.",0.83161062,,直訳,受容,"原文「枳殻の垣」を""the hedge of aegle sepiaria""と直訳し、TL側の特定の植物名を用いることで、文化固有の要素を保持する受容段階を演じた。"
1104,枳殻の垣が黒ずんだ枝の上に、萌るような芽を吹いていたり、柘榴の枯れた幹から、つやつやしい茶褐色の葉が、柔らかそうに日光を映していたりするのが、道々私の眼を引き付けた。,柘榴,"As I walked along, I was  attracted by the fresh buds on the blackish branches  of the hedge of aegle sepiaria, and by the bright  reddish-brown leaves softly reflecting the sunshine  on the bare pomegranate-tree.",0.83161062,,等価,最小化,原文の「柘榴」を英語で一般的な「pomegranate-tree」と訳し、文化的な差異を強調せず、普遍的な植物として表現することで文化差を最小化した。
1134,躑躅が燃えるように咲き乱れていた。,躑躅,The flaming azaleas were in full bloom.,0.6193765402,,直訳,最小化,"原文「躑躅」を""azaleas""と訳し、単語レベルで直接対応させることで日本の特定名称を英語圏の一般的名称に最小化し、読者の共通理解を促している。"
1135,先生はそのうちで樺色の丈の高いのを指して、「これは霧島でしょう」といった。,霧島,"The sensei pointed to a tall one of orange hue, and said:”I suppose this is kirishima.”.",0.4946670234,,借用,受容,"原文の固有名詞「霧島」を""kirishima""とそのまま借用し、文化的な差異を保持しているため、受容段階を意図的に演じたと判断できる。"
1137,芍薬も十坪あまり一面に植え付けられていたが、まだ季節が来ないので花を着けているのは一本もなかった。,芍薬,"A garden of peonies covered a plot about twenty feet square, but it was too early for the flowers.",0.5230855942,,直訳,受容,「芍薬」を対応する英単語「peonies」に直訳することで、文化差（名称）を認めつつ、その文化要素を保持するため、受容段階を演じた。
1143,同じ楓の樹でも同じ色を枝に着けているものは一つもなかった。,楓,Not a single leaf had the same colour as another even on one maple-tree.,0.8204889894,,等価,最小化,"原文「楓」を""maple-tree""と訳すことで、日本の文化的な含意を強調せず、両文化で共通理解可能な「カエデの木」に置き換え、文化差を最小化する等価表現を用いた。"
1144,細い杉苗の頂に投げ被せてあった先生の帽子が風に吹かれて落ちた。,杉苗,"There was a breeze, and the sensei’s hat, perched on the top of a young cedar, fell to the ground.",0.6540266871,,直訳,受容,原文「杉苗」を「a young cedar」と訳し、具体的な樹種と状態を直訳で保持。文化差を認め、そのまま伝える受容段階を意図的に採用した。
1192,今から予想してかかるような言葉遣いをするのが気に触ったら許してくれたまえ。,言葉遣い,”Forgive me for speaking as if I expected your father to die.,0.6829875708,,翻案,適応,原文「予想してかかるような言葉遣い」の持つ不吉な予感への忌避という文化的含みを、英訳で「speaking as if I expected your father to die」と他文化に合わせた具体的なタブー表現に翻案し、適応させた。
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,杉苗,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,,直訳,受容,"原文「杉苗」を""young cedars""と直訳することで、日本の特定の植物という文化要素を、TL読者に理解可能な形で保持しており、受容段階を演じている。"
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,熊笹,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,,調整,適応,"原文「熊笹」を""bamboo clumps""と訳し、特定の植物種を一般的な「竹の群生」に調整することで、文化差を認識しつつターゲット文化の読者の理解に「適応」させている。"
1210,縁台の横から後部へ掛けて植え付けてある杉苗の傍に、熊笹が三坪ほど地を隠すように茂って生えていた。,三坪,"Near the plantation of young cedars beside and behind the bench, bamboo clumps grew about eleven feet square, so think that they seemed to hide the ground.",0.6347866654,,調整,適応,"原文「三坪」を英訳で""about eleven feet square""と、他文化の読者が理解しやすい面積単位に概念の枠組みを調整。他文化視点に適応した表現に変換した。"
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,蟇口,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",0.6818122864,,調整,最小化,原文「蟇口」の具体的な形状を、訳文「purse」という一般的な財布に「調整」し、文化固有の詳細を「最小化」して共通概念に収束させた。
1219,懐中から蟇口を出して、五銭の白銅を小供の手に握らせた。,五銭,"He took his purse from his bosom, and put a five sen coin in the boy’s hand.",0.6818122864,,借用,受容,"「五銭」を「five sen」と訳し、日本の通貨単位「銭」を音写した""sen""として原文の文化要素を保持しているため、文化差を受容する段階を演じている。"
1223,「今斥候長になってるところなんだよ」,斥候長,"”I am playing soldiers, I am a scount-master.”   ",0.6738144755,,直訳,受容,"「斥候長」を""scout-master""と直訳することで、原文の文化的要素である「子供の遊びの役割」を英語圏で理解可能な表現として差異を認め保持した。"
1238,眼の前にある樹は大概楓であったが、その枝に滴るように吹いた軽い緑の若葉が、段々暗くなって行くように思われた。,楓,"Almost all the trees in front of us were maples, and the delicate green leaves opened on their branches, bright and watery.But those leaves seemed to begin to look darker.",0.7830255032,,直訳,受容,「楓」を「maples」と直訳し、文化固有の固有名詞ではなく英訳で対応する一般的な植物名を提示。差異を認めつつ、その存在を保持しているため受容段階を演じた。
1240,遠い往来～～聞こえた。私はそれを村の男が植木か何かを載せて縁日へでも出掛けるものと想像した。,縁日,"I heard a waggon rumbling along the far-away road, and imagined a villager carrying plants and vegetables to a local fete.",0.6087418795,,翻案,適応,原文「縁日」を、英語圏の文脈で機能的に近い「a local fete」に置き換えることで、文化状況を翻案。他文化視点に寄せ、文化差を認識した上で理解可能な表現に「適応」させた。
1286,それでも所々宅地の隅などに、豌豆の蔓を竹にからませたり、金網で鶏を囲い飼いにしたりするのが閑静に眺められた。,豌豆,"Yet at the corners  of these houses were tendrils of peas clinging to bamboo-sticks, or plots for hens covered with wirenetting, looking quiet and restful.",0.8403564095,,直訳,最小化,"「豌豆」を""peas""と直訳することで、文化差を認識しつつ、世界的に共通の植物として差異を最小化し、原文の情景を自然に再現している。"
1286,それでも所々宅地の隅などに、豌豆の蔓を竹にからませたり、金網で鶏を囲い飼いにしたりするのが閑静に眺められた。,金網,"Yet at the corners  of these houses were tendrils of peas clinging to bamboo-sticks, or plots for hens covered with wirenetting, looking quiet and restful.",0.8403564095,,直訳,受容,"原文「金網」を""wirenetting""と直訳し、普遍的な概念だが言語的差異を認め、その意味を保持したため受容段階を演じた。"
1304,私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。,不徳義漢,"They, who seemed to be honest before my father, soon after his  death, became wicked, unforgivably wicked.",0.8094999194,,転換,最小化,原文「不徳義漢」を英訳「wicked」と品詞転換することで、文化的差異を普遍的な悪の概念に収束させ最小化を意図した。
1352,卒業式の日、私は黴臭くなった古い冬服を行李の中から出して着た。,行李,"On the graduation day, I put on an old winter suit,  which smelt of mould from its long residence in a baskettrunk.",0.7973490953,,仮借,受容,"「行李」を""baskettrunk""と訳すことで、その形状・素材の文化的な差異を英語の語彙で再構成し、原文の文化的要素を理解可能な形で保持しているため、仮借と受容を選択した。"
1354,私は風の通らない厚羅紗の下に密封された自分の身体を持て余した。,厚羅紗,"I did not know what to do with my poor body, swathed in wool which did not allow the slightest ventilation.",0.6423524022,,調整,最小化,原文「厚羅紗」を「wool which did not allow the slightest ventilation」と訳し、特定の布地名の文化差を材質と機能の説明に調整。普遍的な共通点に収束させ文化差を最小化した。
1366,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,箸,"Whenever I took dinner at his house, they always placed  the bowls and fuxshi 1 on the white linen cloth as  was the custom in foreign restaurants.",0.5545615554,,借用,受容,"原文「箸」を""fuxshi 1""（借用）で保持し、文化差をTL話者に馴染みの薄い形でそのまま提示しようとしているため、受容段階を演じている。"
1366,先生のうちで飯を食うと、きっとこの西洋料理店に見るような白いリンネルの上に、箸や茶碗が置かれた。,茶碗,"Whenever I took dinner at his house, they always placed  the bowls and fuxshi 1 on the white linen cloth as  was the custom in foreign restaurants.",0.5545615554,,調整,最小化,原文「茶碗」を訳文「bowls」とすることで、日本文化特有の食器を一般的な「椀」へ調整した。文化差を認識しつつ、ターゲット読者が理解しやすいよう差異を最小化した。
1374,「先生は癇性ですね」とかつて奥さんに告げた時、奥さんは「でも着物などは、それほど気にしないようですよ」と答えた事があった。,着物,"When I once remarked to his wife that he was sensitive, she replied,”But he does not trouble himself about his dress.”",0.6674745679,,調整,最小化,"「着物」を""dress""と訳し、特定の和装から一般的な「服装」へ視点を調整。文化差異を意識させず、読者が「服装を気にしない」という共通理解に収束するよう最小化を演じた。"
1381,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,盃,"“ Congratulations,” the sensei said, and raised  his cup to me.These words did not produce the desired effect.",0.6833930016,,調整,適応,"原文「盃」を""cup""と訳し、さらに「この盃に対して」を""These words""と調整し、具体的な文化要素からTL読者に伝わる普遍的な「言葉の効果」へと概念を変換したため、適応段階を意図的に選択した。"
1381,「お目出とう」といって、先生が私のために杯を上げてくれた。私はこの盃に対してそれほど嬉しい気を起さなかった。,杯,"“ Congratulations,” the sensei said, and raised  his cup to me.These words did not produce the desired effect.",0.6833930016,,直訳,最小化,"原文の「杯」を""cup""と直訳することで、日本特有の酒器や儀礼性を一般的な「飲み物の容器」という共通概念に収束させ、文化的な差異を最小化した。"
1405,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,アイスクリーム,"She called the maid, who cleared away the table,  and brought ice-cream and fruit instead.",0.7560925484,,等価,最小化,「アイスクリーム」は両文化に共通する概念で、原文「アイスクリーム」を「ice-cream」と訳すことで文化的差異を強調せず、共通点として捉え、最小化のDMISモードを演じた。
1405,奥さんは下女を呼んで食卓を片付けさせた後へ、改めてアイスクリームと水菓子を運ばせた。,水菓子,"She called the maid, who cleared away the table,  and brought ice-cream and fruit instead.",0.7560925484,,調整,最小化,"原文「水菓子」を""fruit""と調整することで、日本文化特有のニュアンスを削ぎ落とし英語圏の共通概念に収束させ、文化差異を最小化した。"
1488,先生は手に持った団扇をわざとばたばたいわせた。そうしてまた奥さんを顧みた。,団扇,"He purposely flapped the fan in his hand, and turned to his wife again.",0.5805693865,,調整,最小化,原文「団扇」を「fan」と訳すことで、日本の特定の形状の道具を英語圏の一般的な概念に調整し、文化差を小さく扱い共通の道具として理解できるよう最小化している。
1493,「古本屋に売るさ」,古本屋,You can sell them to a second-hand book seller.,0.5679597259,,直訳,受容,"「古本屋」を""second-hand book seller""と直訳することで、この文化要素の存在を認め、その差異を保持した「受容」段階を演じた。"
1500,縁喜でもない。,縁起,Please don't do it any more.,0.6846907139,,調整,否認,原文「縁喜（縁起）でもない」の不吉さという抽象概念を訳文「Please don't do it any more.」で具体的な行動停止要求へ調整。文化要素「縁喜」を削除し文化差を否認した。
1505,玄関と門の間にあるこんもりした木犀の一株が、私の行手を塞ぐように、夜陰のうちに枝を張っていた。,木犀,"The dense fragrant olive between the entrance-door and the gate stretched its branches in the dark, as if trying to block my way.",0.7389726043,,等価,最小化,原文「木犀」を「fragrant olive」と置き換えることで、文化固有のニュアンスは薄れるが、植物としての共通認識に焦点を当て差異を最小化した。
1523,私は電車の中で汗を拭きながら、他の時間と手数に気の毒という観念をまるでもっていない田舎者を憎らしく思った。,田舎者,"Wiping my perspiring face in the  electric-car, I hated those countrymen who did not feel a bit sorry for taking my time and troubling me so much.",0.6790159941,,直訳,受容,"原文「田舎者」を""countrymen""と直訳し、日本と英語圏に共通する「粗野な地方出身者」という文化的含意を保持。差異を認めて残す受容段階を演じている。"
1527,それを履行するに必要な書物も手に入れなければ、ならなかった。私は半日を丸善の二階で潰す覚悟でいた。,丸善,"In order to carry out my program me I had to get some necessary books, and I resolved to spend half a day on the first floor of Maruzen.",0.580609858,,借用,受容,"原文「丸善」を""Maruzen""と固有名詞のまま残し、文化差を認め保持しているため受容段階を演じた。"
